,id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,accelerationAvg,accelerationDev,classifier
327,13952,32.49,0.72,0,4062,2016-04-09 15:51:03,638,14.7017977521,1
328,13953,32.53,0.68,0,4062,2016-04-09 15:51:03,657.2142857143,12.6388209861,1
329,13954,32.49,0.65,0,4047,2016-04-09 15:51:03,648.1785714286,15.9598907341,1
330,13955,32.49,0.65,0,4047,2016-04-09 15:51:03,651.2857142857,11.3793583263,1
331,13956,32.49,0.65,0,4047,2016-04-09 15:51:03,639.2962962963,7.6633558784,1
332,13957,32.53,0.7,0,4047,2016-04-09 15:51:04,649.2777777778,20.5677891524,1
333,13958,32.53,0.65,0,3882,2016-04-09 15:51:04,650.5138888889,11.3956534788,1
334,13959,32.53,0.43,0,3882,2016-04-09 15:51:05,650.5,9.9289140057,1
335,13960,32.53,0.1,0,3882,2016-04-09 15:51:05,646.3333333333,15.6941248738,1
336,13961,32.49,0.02,0,3630,2016-04-09 15:51:05,643.4166666667,19.9037615094,1
337,13962,32.53,0.02,0,3630,2016-04-09 15:51:05,654.375,22.0677224697,1
338,13963,32.53,0.02,0,3630,2016-04-09 15:51:05,658.5833333333,7.1292628573,1
339,13964,32.55,0.02,0,3207,2016-04-09 15:51:07,646.4444444444,8.9176617652,1
340,13965,32.55,0.02,0,3207,2016-04-09 15:51:07,649.1666666667,11.2063969827,1
341,13966,32.59,0.02,0,2547,2016-04-09 15:51:07,656.0833333333,2.5644470922,1
342,13967,32.55,0.02,0,2547,2016-04-09 15:51:08,652.8181818182,3.1857119033,1
343,13968,32.59,0.02,0,2547,2016-04-09 15:51:08,650.652173913,0.5601782055,1
344,13969,32.53,1.14,0,0,2016-04-09 15:51:46,645.6862745098,16.9769049537,1
345,13970,32.59,1.09,0,114,2016-04-09 15:51:46,653.3725490196,21.7760083707,1
346,13971,32.69,0.05,0,0,2016-04-09 15:52:08,650.92,0.3919183588,1
347,13972,32.69,0.04,0,0,2016-04-09 15:52:08,650.36,0.7418894796,1
348,13973,32.69,0.03,0,0,2016-04-09 15:52:08,649.84,0.6118823416,1
349,13974,32.69,0.02,0,0,2016-04-09 15:52:08,651.48,1.8356470249,1
350,13975,32.63,0.02,0,0,2016-04-09 15:52:08,650.44,0.637495098,1
